ACAd,0.041353383,0.056390977,0.011278195,0.011278195,0.082706767,0.109022556,0.590225564,0.522556391,0.221804511,0.12406015,0.421052632,-0.043001842,-0.052025211,-0.012890989,0.006658525,0.042646134,0.033316484,0.033218745,0.048651659,0.02585526,0.004074345,0.126623006
ACAv,0.097560976,0.048780488,0.036585366,0.036585366,0.073170732,0.109756098,0.56097561,0.524390244,0.146341463,0.073170732,0.573170732,-0.065642539,-0.036109263,-0.000195154,0.038050919,-0.017543763,-0.080054746,-0.029194083,-0.077980017,0.008409755,-0.027524197,0.039933065
ACB,0.129699248,0.103383459,0.05075188,0.02443609,0.043233083,0.242481203,0.372180451,0.353383459,0.186090226,0.419172932,0.165413534,0.020453669,0.020826697,-0.003169812,-0.012026739,0.00416079,-0.019089636,-0.010204293,0.010488402,0.045655863,0.001535878,0.030786086
aco,0.161172161,0.172161172,0.142857143,0.095238095,0.065934066,0.395604396,0.380952381,0.373626374,0.271062271,0.443223443,0.120879121,0.010267018,-0.023352465,-0.009949998,-0.00976886,-0.005678607,-0.001264107,0.013383946,-0.013172244,-0.003341884,0.004992048,0.035003065
act,0,0,0,0,0.1,0.2,0.2,0.1,0.3,0.4,0.3,0.088853618,0.088112112,0.036494995,-0.077030976,-0.116738573,-0.03275539,-0.027892698,-0.067989541,-0.093232185,-0.123181097,-0.165648002
AId,0.060714286,0.067857143,0.085714286,0.078571429,0.085714286,0.217857143,0.471428571,0.442857143,0.232142857,0.321428571,0.239285714,-0.021177192,-0.006556495,-0.00819952,0.011583473,0.002408038,-0.021703271,-0.013391758,2.11E-05,-0.024400409,0.014612153,0.064448709
AIv,0.113636364,0.116883117,0.090909091,0.064935065,0.097402597,0.253246753,0.506493506,0.477272727,0.266233766,0.272727273,0.214285714,-0.03665659,-0.027630644,-0.020606393,0.0034184,-0.008862586,0.005398248,0.005918587,-0.015873803,0.008567941,-0.005667387,0.037981325
alv,0.103448276,0.017241379,0.034482759,0.034482759,0.034482759,0.120689655,0.568965517,0.551724138,0.103448276,0.310344828,0.189655172,-0.009076498,-0.038111077,0.0176866,0.020473856,0.073199403,0.038048079,0.008335025,0.040780737,0.046372842,0.033301443,0.11165165
AON,0.102639296,0.099706745,0.062561095,0.040078201,0.053763441,0.234604106,0.442815249,0.434017595,0.179863148,0.307917889,0.233626588,0.024162701,-0.004401563,0.00122947,-0.019969502,-0.01455436,-0.012519606,-0.007801621,-0.017516609,-0.007842862,0.027990566,0.044610177
APN,0.083333333,0.321428571,0.119047619,0.107142857,0.047619048,0.142857143,0.797619048,0.761904762,0.166666667,0.071428571,0.19047619,0.033664131,0.020280829,0.045201487,0.050467072,0.056696099,0.029951857,0.007262341,0.000690785,-0.034537272,-0.017724065,0.094450702
ar,0.074074074,0.061728395,0.049382716,0.037037037,0.061728395,0.234567901,0.333333333,0.333333333,0.172839506,0.333333333,0.259259259,0.032588449,-0.010374628,-0.006382057,-0.013833609,0.004629659,-0.005269953,-0.007087289,-0.040727885,0.006769885,-0.021988477,0.061332322
AUDd,0.035714286,0.06547619,0.035714286,0.023809524,0.041666667,0.154761905,0.482142857,0.476190476,0.273809524,0.321428571,0.208333333,-0.0102083,0.019063917,0.077561088,0.000867983,0.012470627,-0.006953039,-0.004519879,-0.031546339,-0.042261732,-0.007987226,0.021577957
BMAa,0,0,0,0,0,0.166666667,0.333333333,0.333333333,0,0.5,0.333333333,-0.105774178,-0.007651257,-0.010914485,0.15049789,-0.110871333,-0.024811491,0.177256273,-0.244020776,0.10340887,-0.105469869,-0.078558035
bsc,0,0,0,0,0,0,1,1,0,0,0,0.041749459,0.066453891,0.049651311,0.01933116,0.019664119,0.031683376,-0.032741373,-0.048711556,-0.079697624,-0.002088263,0.101057927
BST,0.015625,0.0234375,0.015625,0.015625,0.0546875,0.109375,0.53125,0.5234375,0.1796875,0.296875,0.1796875,-0.053562445,0.002502639,0.025063986,-0.031461067,-0.029611513,0.018549868,-0.005317441,-0.017230008,0.00674983,0.000519252,-0.001505878
CA,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0.666666667,-0.119277392,-0.178394311,0.086535482,-0.084238502,0.048451503,-0.02647701,0.007571545,-0.157355205,-0.218794549,0.147296095,-0.060332721
CA1,0.129194631,0.065436242,0.07885906,0.055369128,0.063758389,0.176174497,0.567114094,0.530201342,0.182885906,0.219798658,0.265100671,-0.001923412,-0.004922776,-0.00300122,-0.000475324,0.025500311,-0.009694433,-0.026823945,0.002751895,-0.012699664,-0.019570425,0.06960757
CA3,0.077464789,0.014084507,0.042253521,0.035211268,0.056338028,0.112676056,0.521126761,0.492957746,0.211267606,0.323943662,0.218309859,0.005114079,-0.012690707,0.012695278,0.039806799,0.033650261,0.017947356,-0.000253603,0.030134558,0.007550221,0.017447472,0.178909084
ccb,0.019230769,0.009615385,0.057692308,0.057692308,0.057692308,0.076923077,0.605769231,0.509615385,0.153846154,0.153846154,0.326923077,-0.023135937,-0.036823582,-0.033503385,-0.02654465,0.007462575,0.048840543,0.000342061,-0.012789911,-0.012637555,-0.020705312,0.004318385
ccg,0.013157895,0.013157895,0,0,0.026315789,0.013157895,0.671052632,0.657894737,0.263157895,0.157894737,0.302631579,-0.029767406,0.010958122,0.011910816,0.022299104,-0.047434957,0.004308075,-0.039717002,0.011236211,0.010848036,-0.003827421,-0.008266561
